id,parentId,name,city,position,image,data
174,101,Dossiers juridique,Baie-Trinité,Source de données,https://bcitigab.github.io/icons/upload.png,"nom, prénom, numéro de téléphone, noms et prénoms de spécialistes, achats"
175,174,Copie physique dans le dossier du citoyen fautif,Baie-Trinité,Hébergement / Stockage,https://bcitigab.github.io/icons/folder.png,
176,105,Conservation des archives,Baie-Trinité,Source de données,https://bcitigab.github.io/icons/upload.png,"nom, prénom, état patrimonial, niveau d'instruction, genre, adresse électronique, âge, dossiers médicaux, revenus, renseignements bancaires, données de carte de débit, NAS"
177,176,Serveur local,Baie-Trinité,Hébergement / Stockage,https://bcitigab.github.io/icons/folder.png,
178,177,Directeur général,Baie-Trinité,Accès,https://bcitigab.github.io/icons/key.png,
179,177,Secrétaire du DG,Baie-Trinité,Accès,https://bcitigab.github.io/icons/key.png,
180,177,Remplaçant du DG,Baie-Trinité,Accès,https://bcitigab.github.io/icons/key.png,
181,177,Tous les employés avec accès au serveur,Baie-Trinité,Accès,https://bcitigab.github.io/icons/key.png,
182,101,Liste d'électeurs,Baie-Trinité,Source de données,https://bcitigab.github.io/icons/upload.png,
183,182,Serveur local,Baie-Trinité,Hébergement / Stockage,https://bcitigab.github.io/icons/folder.png,
184,183,Tous les employés municipaux,Baie-Trinité,Accès,https://bcitigab.github.io/icons/key.png,
185,183,Employés de l'élection,Baie-Trinité,Accès,https://bcitigab.github.io/icons/key.png,
186,183,Candidats électoraux,Baie-Trinité,Accès,https://bcitigab.github.io/icons/key.png,
187,104,Procès verbaux,Baie-Trinité,Source de données,https://bcitigab.github.io/icons/upload.png,nom et prénom
188,187,Les citoyens,Baie-Trinité,Accès,https://bcitigab.github.io/icons/key.png,
